StudentCode,UcCode,ClassCode,Operation,UndoOperation
202028717,L.EIC003,1LEIC09,joinuc,false
202028717,L.EIC003,1LEIC09,joinuc,false
202020472,L.EIC001,1LEIC13,leaveuc,false
202020472,L.EIC002,,swapclass,false
202041552,L.EIC011,2LEIC01,swapclass,false
202041552,L.EIC011,2LEIC01,leaveuc,false
202041552,L.EIC011,2LEIC01,joinuc,true
202023362,L.EIC003,,swapuc,false
202058297,L.EIC011,2LEIC09,joinuc,false
202058297,L.EIC011,,swapuc,false
202058297,L.EIC011,2LEIC09,joinuc,false
202058297,L.EIC011,2LEIC09,swapuc,false
202024467,L.EIC002,1LEIC02,leaveuc,false
202024467,L.EIC002,1LEIC02,joinuc,true
201960762,L.EIC013,2LEIC12,leaveuc,false
